伝票日付,号数,売番号,船名,船主名,問屋名,漁法名,船籍名,生冷区分,魚種名,単位,単価,個数,数量,金額,消費税,取引日
20120126,1,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,3760 ,1,50.0 ,188000 ,9400 ,20120126
20120126,2,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,2290 ,1,56.2 ,128698 ,6435 ,20120126
20120126,3,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,2300 ,1,71.2 ,163760 ,8188 ,20120126
20120126,4,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,2350 ,1,55.4 ,130190 ,6510 ,20120126
20120126,5,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,1930 ,1,53.0 ,102290 ,5115 ,20120126
20120126,6,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,667 ,1,46.8 ,31216 ,1561 ,20120126
20120126,7,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,2290 ,1,84.2 ,192818 ,9641 ,20120126
20120126,8,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,1900 ,1,54.6 ,103740 ,5187 ,20120126
20120126,9,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,1750 ,1,51.4 ,89950 ,4498 ,20120126
20120126,10,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,1110 ,1,40.0 ,44400 ,2220 ,20120126
20120126,11,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,591 ,1,56.2 ,33214 ,1661 ,20120126
20120126,12,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,210 ,1,52.6 ,11046 ,552 ,20120126
20120126,13,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,ば　ち,0:㎏,316 ,1,56.8 ,17949 ,897 ,20120126
20120126,1,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1190 ,1,33.2 ,39508 ,1975 ,20120126
20120126,2,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1830 ,1,32.8 ,60024 ,3001 ,20120126
20120126,3,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1290 ,1,31.8 ,41022 ,2051 ,20120126
20120126,4,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,894 ,1,33.0 ,29502 ,1475 ,20120126
20120126,5,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,289 ,1,30.8 ,8901 ,445 ,20120126
20120126,6,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,989 ,1,33.0 ,32637 ,1632 ,20120126
20120126,7,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1240 ,1,31.2 ,38688 ,1934 ,20120126
20120126,8,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,750 ,1,35.0 ,26250 ,1313 ,20120126
20120126,9,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,567 ,1,30.0 ,17010 ,851 ,20120126
20120126,10,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,700 ,1,30.0 ,21000 ,1050 ,20120126
20120126,11,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,189 ,1,30.2 ,5708 ,285 ,20120126
20120126,12,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,150 ,1,30.0 ,4500 ,225 ,20120126
20120126,13,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1490 ,1,26.4 ,39336 ,1967 ,20120126
20120126,14,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1190 ,1,28.4 ,33796 ,1690 ,20120126
20120126,15,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1390 ,1,26.2 ,36418 ,1821 ,20120126
20120126,16,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1190 ,1,27.2 ,32368 ,1618 ,20120126
20120126,17,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,810 ,1,26.8 ,21708 ,1085 ,20120126
20120126,18,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1040 ,1,27.6 ,28704 ,1435 ,20120126
20120126,19,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1300 ,1,28.0 ,36400 ,1820 ,20120126
20120126,20,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,750 ,2,53.2 ,39900 ,1995 ,20120126
20120126,21,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1190 ,1,29.0 ,34510 ,1726 ,20120126
20120126,22,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,709 ,2,52.8 ,37435 ,1872 ,20120126
20120126,23,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,350 ,1,29.4 ,10290 ,515 ,20120126
20120126,24,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,919 ,1,27.2 ,24997 ,1250 ,20120126
20120126,25,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1580 ,1,27.6 ,43608 ,2180 ,20120126
20120126,26,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,798 ,1,25.2 ,20110 ,1006 ,20120126
20120126,27,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1010 ,1,26.6 ,26866 ,1343 ,20120126
20120126,28,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,611 ,1,28.0 ,17108 ,855 ,20120126
20120126,29,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1250 ,1,25.0 ,31250 ,1563 ,20120126
20120126,30,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,569 ,1,25.2 ,14339 ,717 ,20120126
20120126,31,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,1010 ,1,29.0 ,29290 ,1465 ,20120126
20120126,32,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,250 ,2,51.6 ,12900 ,645 ,20120126
20120126,33,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,509 ,1,25.0 ,12725 ,636 ,20120126
20120126,34,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,139 ,3,87.2 ,12121 ,606 ,20120126
20120126,35,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,149 ,2,51.8 ,7718 ,386 ,20120126
20120126,36,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,809 ,1,21.8 ,17636 ,882 ,20120126
20120126,37,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,859 ,1,23.6 ,20272 ,1014 ,20120126
20120126,38,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,だるま,0:kg,937 ,1,21.0 ,19677 ,984 ,20120126
